"street","hondius_1612","berckenrode_1625","ram_1692","loman_1876","pw_1909","pw_1943","pw_1985"
"https://adamlink.nl/geo/street/duivengang/7666",,,,"yes",,,
"https://adamlink.nl/geo/street/duyven-steegje/5636",,"yes","yes",,,,
"https://adamlink.nl/geo/street/dwars-klooster/5729",,,"yes",,,,
"https://adamlink.nl/geo/street/dwars-spinhuissteeg/1132",,"yes","yes",,,,
"https://adamlink.nl/geo/street/eemnessenhofje/6918",,,,"yes","no",,
"https://adamlink.nl/geo/street/eendrachtsgang/7854",,,,"yes",,,
"https://adamlink.nl/geo/street/eenuursgang/6886",,,,,"yes","no",
"https://adamlink.nl/geo/street/eerste-anjeliersdwarsstraat/1166",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-batavierdwarsstraat/5720",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-bloemdwarsstraat/1168",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-boomdwarsstraat/1170",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-breeuwersstraat/1171",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-goudsbloemdwarsstraat/1177",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-jonkerdwarsstraat/7059",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-kattenburgerdwarsstraat/5735",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-leliedwarsstraat/1188",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-lindendwarsstraat/1189",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-looiersdwarsstraat/1190",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-passeerdersdwarsstraat/1195",,,"yes",,,,
"https://adamlink.nl/geo/street/eerste-ridderdwarsstraat/7060",,,"yes",,,,
"https://adamlink.nl/geo/street/egelantiersgracht/1209",,"yes",,,,,
"https://adamlink.nl/geo/street/egelantiersstraat/1210",,"yes","yes",,,,
"https://adamlink.nl/geo/street/elandsgang/6881",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/elandsgracht/1231",,"yes",,,,,
"https://adamlink.nl/geo/street/elandsstraat/1232",,"yes","yes",,,,
"https://adamlink.nl/geo/street/elantssteeg/7022",,"yes",,,,,
"https://adamlink.nl/geo/street/elleboogsteeg/1241",,"yes","yes",,,,
"https://adamlink.nl/geo/street/enge-kapelsteeg/1257",,,"yes",,,,
"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",,"yes","yes",,,,
"https://adamlink.nl/geo/street/enge-kerksteeg/1258",,"yes","yes",,,,
"https://adamlink.nl/geo/street/enge-lombardsteeg/1259",,"yes","yes",,,,
"https://adamlink.nl/geo/street/engelengang/6753",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/engelengang/7855",,,,"yes",,,
"https://adamlink.nl/geo/street/engelgabrielsgang/7856",,,,"yes",,,
"https://adamlink.nl/geo/street/engelschepoort/7858",,,,"yes",,,
"https://adamlink.nl/geo/street/engelschmanssteeg/7859",,,,"yes",,,
"https://adamlink.nl/geo/street/engelse-pelgrimsteeg/1260",,"yes","yes",,,,
"https://adamlink.nl/geo/street/evangelisch-luthers-diaconiehofje/6844",,,,"yes",,,
"https://adamlink.nl/geo/street/fenijnighsteeghjen/5645",,"yes","yes",,,,
"https://adamlink.nl/geo/street/fikkengang/6685",,,,"yes","no",,
"https://adamlink.nl/geo/street/flipjesgang/7860",,,,"yes",,,
"https://adamlink.nl/geo/street/foeliedwarsstraat/1348",,,"yes",,,,
"https://adamlink.nl/geo/street/foelieslagersgang/6804",,,,"yes",,,
"https://adamlink.nl/geo/street/foeliestraat/1349",,,"yes",,,,
"https://adamlink.nl/geo/street/fonteinengang/6920",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/fontijnengang/6888",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/fortuinengang/6057",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/fortuinengang/6916",,,,,"yes","no",
"https://adamlink.nl/geo/street/fortuinengang/7861",,,,"yes",,,
"https://adamlink.nl/geo/street/fortuinengang/7862",,,,"yes",,,
"https://adamlink.nl/geo/street/fortuinengang/7863",,,,"yes",,,
"https://adamlink.nl/geo/street/fortuinengang/7864",,,,"yes",,,
"https://adamlink.nl/geo/street/fortuinengang/7865",,,,"yes",,,
"https://adamlink.nl/geo/street/frederiksgang/7866",,,,"yes",,,
"https://adamlink.nl/geo/street/friescheboerengang/7867",,,,"yes",,,
"https://adamlink.nl/geo/street/friese-korenmarkt/6976","yes","no",,,,,
"https://adamlink.nl/geo/street/friezengang-oude/7869",,,,"yes",,,
"https://adamlink.nl/geo/street/gabrielsgang/6813",,,,"yes","no",,
"https://adamlink.nl/geo/street/galgenstraat/1422",,,"yes",,,,
"https://adamlink.nl/geo/street/gang-aan-de-heilige-weg/7036",,,,"yes",,,
"https://adamlink.nl/geo/street/gansoord/6996",,"yes","yes",,,,
"https://adamlink.nl/geo/street/gapersgang/6902",,,,,"yes","no",
"https://adamlink.nl/geo/street/gapersteeg/1436",,"yes","yes",,,,
"https://adamlink.nl/geo/street/gasthuismolensteeg/1439",,"yes","yes",,,,
"https://adamlink.nl/geo/street/gasthuissteeg/5845",,"yes","yes",,,,
"https://adamlink.nl/geo/street/gebed-zonder-end/1441",,"yes","yes",,,,
"https://adamlink.nl/geo/street/geelvinck-dwarssteeg/5430",,"yes","yes","yes",,,
"https://adamlink.nl/geo/street/geelvinckssteeg/1449",,"yes","yes",,,,
"https://adamlink.nl/geo/street/geldersekade/1459","yes","yes",,,,,
"https://adamlink.nl/geo/street/geldersesteeg/1460",,"yes","yes",,,,
"https://adamlink.nl/geo/street/gierstbalengang/6726",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/gijzelaarsgang/6713",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/glazenmakersgang/6826",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/glazenmakersgang/7871",,,,"yes",,,
"https://adamlink.nl/geo/street/glazenmakersgang/7872",,,,"yes",,,
"https://adamlink.nl/geo/street/gooierssteeg/7672",,,,"yes",,,
"https://adamlink.nl/geo/street/gooijerssteeg/5840",,"yes","yes",,,,
"https://adamlink.nl/geo/street/gordijnensteeg/1527",,"yes","yes",,,,
"https://adamlink.nl/geo/street/goudbergssteegje/7673",,,,"yes",,,
"https://adamlink.nl/geo/street/goudenkopsteeg/7020",,"yes",,,,,
