"street","straatnaam","minbouwjaar"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003809","Monnikenstraat","1905"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004907","Willem Roelofsstraat","1964"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002484","Bartholomeus Diazstraat","1925"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003159","Corsicaweg","1982"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003249","Deymanstraat","1884"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005180","Van Alphenstraat","1905"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011211165","Groezestraat","1967"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003924","Joop Gerritzestraat","1954"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004317","Merlijnstraat","1939"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004587","Prof. Oranjestraat","1952"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001451","C.J.K. van Aalststraat","1999"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003587","Hoofdweg","1910"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001608","Circusplein","1988"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004678","Nieuwe Schermerstraat","1937"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004582","Prinsenstraat","1910"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003630","Immanuel Kanthof","1954"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004530","Slangenburg","1963"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005708","Bankwerkerij","1983"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005579","Zuidelijke Wandelweg","1925"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005897","Barbara van Meertenstraat","2007"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001154","Antwerpenbaan","1994"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000000960","Formenterapad","2002"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001779","Wachterliedplantsoen","1977"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005449","Sportpark Oostzanerwerf","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004160","Lekstraat","1924"
